team,avg_fg,avg_fga,avg_fg_perc,avg_3p,avg_3pa,avg_3p_perc,avg_ft,avg_fta,avg_ft_perc,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,avg_ts_perc,avg_efg_perc,avg_3par,avg_ftr,avg_fg_opp,avg_fga_opp,avg_fg_perc_opp,avg_3p_opp,avg_3pa_opp,avg_3p_perc_opp,avg_ft_opp,avg_fta_opp,avg_ft_perc_opp,avg_orb_opp,avg_drb_opp,avg_trb_opp,avg_ast_opp,avg_stl_opp,avg_blk_opp,avg_tov_opp,avg_pf_opp,avg_pts_opp,avg_ts_perc_opp,avg_efg_perc_opp,avg_3par_opp,avg_ftr_opp,team_ranking
HOU,39.36661698956781,86.8822652757079,0.4538703427719821,13.988077496274215,39.84649776453056,0.3502160953800298,18.95827123695976,25.14456035767511,0.7558777943368108,10.13263785394933,33.20417287630402,43.33681073025336,22.614008941877795,8.327868852459016,4.843517138599106,14.093889716840536,20.763040238450078,111.6795827123696,0.5709672131147542,0.5344590163934426,0.4586691505216095,0.2939016393442623,40.93293591654248,87.75558867362146,0.4672608047690014,11.195230998509688,31.782414307004476,0.3509314456035767,17.67660208643815,23.07153502235469,0.7662995529061103,10.582712369597616,34.46646795827124,45.04918032786885,24.24441132637854,8.162444113263785,5.05812220566319,14.293591654247392,20.64232488822653,110.7377049180328,0.5664232488822653,0.5312190760059612,0.3623517138599106,0.2658286140089418,12.0
IND,41.17298937784522,87.52959028831563,0.471133535660091,10.298937784522003,28.321699544764797,0.362701062215478,16.430955993930198,21.08194233687405,0.7782928679817905,9.649468892261002,32.98786039453718,42.63732928679818,24.673748103186647,8.160849772382397,5.185128983308043,13.330804248861911,20.03945371775417,109.07587253414265,0.5643156297420334,0.5299666160849772,0.3228801213960546,0.2439711684370257,40.050075872534144,86.86798179059181,0.4614855842185129,10.866464339908951,30.562974203338392,0.3534157814871017,17.652503793626707,22.74051593323217,0.7754552352048558,10.688922610015174,33.50682852807284,44.19575113808801,23.602427921092566,7.496206373292868,4.960546282245827,14.233687405159332,19.2701062215478,108.61911987860394,0.561092564491654,0.5240971168437025,0.3521062215477997,0.2650591805766312,17.0
LAC,40.36377025036819,85.78939617083947,0.471480117820324,11.306332842415316,30.139911634756995,0.3733858615611193,18.90427098674521,24.51693667157585,0.7758571428571429,9.608247422680412,34.30338733431517,43.91163475699558,23.25920471281296,7.409425625920472,4.658321060382916,12.927835051546392,20.53019145802651,110.9381443298969,0.5755360824742268,0.5376111929307805,0.351861561119293,0.2900471281296023,39.85419734904271,87.68483063328424,0.4553534609720177,10.880706921944036,30.734904270986743,0.353219440353461,17.74521354933726,23.08541973490427,0.7681089837997055,10.74521354933726,33.60382916053019,44.349042709867454,23.571428571428573,7.419734904270987,4.41678939617084,13.010309278350515,21.341678939617083,108.33431516936672,0.5545007363770251,0.5176229749631812,0.3508748159057437,0.2668703976435935,5.0
LAL,40.58584337349398,87.69277108433735,0.4631129518072289,10.314759036144578,29.968373493975903,0.3416475903614458,17.643072289156628,23.751506024096383,0.7428433734939759,10.248493975903614,34.53012048192771,44.77861445783133,23.617469879518072,7.676204819277109,5.063253012048193,14.32078313253012,20.0421686746988,109.12951807228916,0.5564367469879518,0.5220421686746989,0.3420632530120482,0.2736746987951807,41.07680722891566,88.75,0.4640210843373494,11.26656626506024,31.853915662650603,0.3527725903614458,17.25,22.48042168674699,0.7677289156626506,10.311746987951809,34.30421686746988,44.61596385542169,24.97289156626506,8.046686746987952,4.843373493975903,13.596385542168674,20.382530120481928,110.67018072289156,0.5623042168674699,0.5276460843373494,0.3588659638554217,0.2570948795180723,15.5
MEM,39.47022900763359,87.59847328244275,0.45106106870229,10.058015267175572,28.87175572519084,0.3461969465648855,17.418320610687022,22.662595419847328,0.7698152671755725,10.9618320610687,33.05343511450382,44.01526717557252,23.836641221374045,8.401526717557251,5.186259541984733,13.322137404580152,21.155725190839696,106.41679389312976,0.5460564885496183,0.5084091603053434,0.3288442748091603,0.2623267175572519,38.52366412213741,84.49007633587786,0.4569648854961832,11.636641221374044,32.012213740458016,0.3629709923664122,19.08854961832061,24.55267175572519,0.7785770992366412,9.90381679389313,33.890076335877865,43.79389312977099,23.57557251908397,7.490076335877863,5.516030534351145,14.43969465648855,20.293129770992365,107.77251908396948,0.5668229007633588,0.5259419847328245,0.3785221374045801,0.2963603053435115,14.0
MIA,39.152204836415365,84.84068278805121,0.4625931721194878,11.22190611664296,31.017069701280228,0.3599032716927454,16.879089615931722,22.05547652916074,0.7642247510668563,9.561877667140823,33.89758179231863,43.45945945945946,23.72688477951636,7.429587482219061,4.70697012802276,13.291607396870557,19.89189189189189,106.4054054054054,0.5640085348506401,0.5289843527738264,0.3659615931721195,0.2636088193456614,38.09246088193456,84.60170697012802,0.4510796586059744,11.116642958748225,31.73684210526316,0.3495661450924608,17.480796586059743,22.46941678520626,0.7784708392603129,9.55049786628734,33.08392603129445,42.63442389758179,22.66856330014225,7.223328591749644,4.334281650071124,13.581792318634424,20.001422475106686,104.7823613086771,0.555620199146515,0.5170142247510668,0.3755931721194879,0.2685832147937411,10.0
MIL,41.40889526542324,87.3400286944046,0.4748292682926829,11.576757532281205,31.90674318507891,0.3613486370157819,17.43041606886657,22.94117647058824,0.7592410329985654,9.672883787661409,35.89813486370158,45.57101865136298,24.532281205164992,7.743185078909613,5.196556671449067,13.502152080344333,19.562410329985653,111.82496413199426,0.5741406025824964,0.5406470588235295,0.3624390243902439,0.2661908177905308,39.85939741750359,88.76327116212339,0.4506571018651363,12.222381635581062,33.89813486370158,0.360170731707317,16.63271162123386,21.461979913916785,0.7767761836441894,9.99713055954089,33.7948350071736,43.79196556671449,24.47919655667145,7.3113342898134865,4.6384505021520805,13.357245337159254,19.85222381635581,108.5738880918221,0.5544705882352942,0.519519368723099,0.3808364418938307,0.2464088952654232,3.0
MIN,40.346875,87.3671875,0.4629609375,10.4890625,29.6171875,0.3536234374999999,19.040625,24.3671875,0.7802718750000001,10.5296875,32.5671875,43.096875,24.3484375,8.2953125,5.1,13.5328125,20.4203125,110.2234375,0.5627875,0.5227203125,0.33668125,0.2828609375,40.8828125,86.9359375,0.471284375,11.4203125,31.246875,0.364946875,17.9109375,23.1296875,0.7739296875,10.4171875,33.325,43.7421875,24.6421875,7.3171875,5.1125,14.478125,20.9046875,111.096875,0.5731171875000001,0.5370578125,0.359140625,0.2688390625,19.0
NOP,41.34796238244514,88.57366771159874,0.4678322884012539,10.45141065830721,29.56896551724138,0.352192789968652,17.6269592476489,23.177115987460816,0.7607727272727273,10.336990595611285,34.77115987460815,45.10815047021944,25.268025078369902,7.782131661442007,4.866771159874608,13.81347962382445,19.73197492163009,110.7742946708464,0.5617742946708464,0.5269498432601881,0.3339921630094044,0.2652460815047022,41.2460815047022,88.89028213166144,0.4650156739811912,11.830721003134796,32.75705329153605,0.3603087774294671,17.34169278996865,22.244514106583072,0.7799984326018808,9.920062695924765,34.470219435736674,44.39028213166144,24.75705329153605,7.72884012539185,4.93730407523511,13.418495297805643,20.36206896551724,111.66457680250784,0.5670924764890283,0.5318479623824451,0.3690673981191222,0.2529028213166144,23.0
NYK,39.06793048973144,87.2875197472354,0.4482417061611374,10.14218009478673,28.62401263823065,0.3532654028436018,16.979462875197473,22.175355450236967,0.7682322274881517,11.186413902053712,33.97788309636651,45.16429699842022,21.71563981042654,6.81042654028436,5.053712480252765,13.080568720379146,20.29699842022117,105.25750394944708,0.5432733017377567,0.5065829383886256,0.3285387045813586,0.2567061611374407,39.47551342812006,86.76461295418642,0.4557661927330174,11.382306477093207,31.92259083728278,0.3553159557661927,17.672985781990523,23.0695102685624,0.7649652448657188,10.312796208530806,33.7172195892575,44.03001579778831,23.744075829383885,7.1864139020537126,4.897314375987362,12.281200631911531,19.30647709320695,108.00631911532383,0.5583270142180095,0.5216761453396525,0.3688988941548183,0.2689178515007899,21.0
